id,word,polarity,joy,fear,sadness,anger,surprise,disgust
301,conserv,negative,0,0,0,0,1,0
302,consol,positive,1,0,0,0,0,0
303,conspir,negative,0,1,1,1,0,1
304,conspir,negative,0,1,0,1,0,1
305,const,negative,0,0,0,0,0,0
306,constitutionnel,positive,0,0,0,0,0,0
307,contagi,negative,0,1,1,0,0,1
308,cont,positive,1,0,0,0,0,0
309,contemporain,positive,0,0,0,0,0,0
310,content,positive,0,0,0,0,0,0
311,contest,negative,0,0,0,0,0,0
312,conteur,positive,0,0,0,0,0,0
313,contiguã«,positive,0,0,0,0,0,0
314,continuel,positive,0,0,0,0,0,0
315,contraindr,negative,0,1,0,0,0,0
316,contrari,negative,0,1,1,1,0,1
317,contrebandi,negative,0,1,0,1,0,1
318,contrecarr,positive,0,1,0,1,1,0
319,contremaã®tr,positive,0,0,0,0,0,0
320,contretemp,negative,0,1,1,0,1,1
321,contreven,negative,0,1,1,1,0,1
322,contrevenir ã ,negative,0,0,0,1,0,0
323,contributric,positive,0,0,0,0,0,0
324,conven,positive,1,0,0,0,0,0
325,conventionnel,positive,0,0,0,0,0,0
326,copain,positive,0,0,0,0,0,0
327,copieur,negative,0,0,0,1,0,1
328,copin,positive,0,0,0,0,0,0
329,coquillag,negative,0,0,0,0,0,1
330,corallien,positive,0,0,0,0,0,0
331,corbeau,negative,0,0,0,1,0,1
332,cordial,positive,0,0,0,0,0,0
333,corporel,positive,0,0,0,0,0,0
334,correct,negative,0,1,1,0,0,0
335,correspond,positive,0,0,0,0,0,0
336,costaud,positive,0,1,0,0,0,0
337,cã´ti,positive,0,0,0,0,0,0
338,cã´tiã¨r,positive,0,0,0,0,0,0
339,coup de feu,negative,0,1,1,1,0,0
340,courag,positive,0,1,0,0,0,0
341,courbur,positive,0,0,0,0,0,0
342,coureur,positive,0,0,0,0,0,0
343,courri,positive,0,0,0,0,0,0
344,courroi,negative,0,1,0,0,0,0
345,courti,positive,0,0,0,0,0,0
346,coutumi,positive,0,0,0,0,0,0
347,craint,negative,0,1,0,0,0,0
348,craintif,negative,0,1,1,0,0,0
349,crasseux,negative,0,0,0,0,0,1
350,crã©anci,positive,0,0,0,0,0,0
351,crã©ateur,positive,0,0,0,0,0,0
352,crã©meux,positive,0,0,0,0,0,0
353,crã©tin,negative,0,0,0,1,0,1
354,creux,negative,0,1,1,0,0,0
355,crev,negative,0,1,0,0,1,0
356,cri,negative,0,1,0,1,1,0
357,criminel,negative,0,1,0,1,0,1
358,critiqu,negative,0,0,0,1,0,0
359,critiqueur,negative,0,0,0,1,0,1
360,croã®tr,positive,0,0,0,0,0,0
361,cross,positive,0,0,0,0,0,0
362,croi,positive,0,0,0,0,0,0
363,cruel,negative,0,1,1,1,0,1
364,cruel,negative,0,0,1,0,0,0
365,cueilleur,positive,0,0,0,0,0,0
366,cultiv,positive,0,0,0,0,0,0
367,curat,positive,0,0,0,0,0,0
368,curã©,positive,0,0,0,0,0,0
369,curieux,negative,0,0,0,0,0,0
370,curseur,positive,0,0,0,0,0,0
371,cursus,positive,0,0,0,0,0,0
372,cutanã©,positive,0,0,0,0,0,0
373,cuv,negative,0,0,0,0,0,1
374,cuvet,positive,0,0,0,0,0,0
375,danger,negative,0,1,1,1,1,0
376,danseur,positive,0,0,0,0,0,0
377,de ce mond,positive,0,0,0,0,0,0
378,de garã§on,positive,0,0,0,0,0,0
379,de naiss,positive,0,0,0,0,0,0
380,de traver,negative,0,1,1,0,0,1
381,dã©biteur,negative,0,1,1,0,0,0
382,dã©but,positive,0,0,0,0,0,0
383,dã©but,negative,0,1,0,0,0,0
384,dã©ception,negative,0,0,1,1,0,0
385,dã©cã¨,negative,0,0,1,0,0,0
386,dã©chaã®n,negative,0,1,0,1,1,1
387,dã©clarat,positive,0,0,0,0,0,0
388,dã©clar,positive,0,1,0,0,0,0
389,dã©clinaison,positive,0,0,1,0,0,0
390,dã©combre|dã©combr,negative,0,1,1,0,0,1
391,dã©contract,positive,1,0,0,0,0,0
392,dã©corat,positive,0,0,0,0,0,0
393,dã©cevoir,negative,0,0,1,1,0,0
394,dã©daigneux,negative,0,0,0,1,0,1
395,dã©faire son valis,positive,0,0,0,0,0,0
396,dã©fair,negative,0,0,0,0,0,0
397,dã©fectueux,negative,0,0,1,0,0,1
398,dã©fendabl,positive,0,0,0,0,0,0
399,dã©fendeur,positive,0,1,1,1,0,0
400,dã©fensif,negative,0,0,0,0,0,0
401,dã©ficienc,negative,0,0,1,0,0,0
402,dã©gã¢t,negative,0,0,1,1,0,1
403,dã©gã©nã©rer,negative,0,1,0,0,0,1
404,dã©goãƒâ»t,negative,0,1,1,1,0,1
405,dã©labr,negative,0,0,1,0,0,0
406,dã©lav,negative,0,0,1,0,0,0
407,dã©lã©gu,positive,0,0,0,0,0,0
408,dã©licat,negative,0,1,0,0,0,0
409,dã©licatess,positive,0,0,0,0,0,0
410,dã©lic,positive,1,0,0,0,0,0
411,dã©licieux,positive,1,0,0,0,0,0
412,dã©linqu,negative,0,1,1,1,0,1
413,demanderess,negative,0,0,1,1,0,1
414,dã©menc,negative,0,1,1,1,0,1
415,dã©ment,negative,0,1,0,1,0,0
416,demeur,positive,0,0,0,0,0,0
417,dã©monstrateur,positive,0,0,0,0,0,0
418,dentair,positive,0,0,0,0,0,0
419,dã©nu,negative,0,1,1,0,0,0
420,dã©pareil,negative,0,0,0,0,0,0
421,dã©plac,negative,0,0,0,1,1,0
422,dã©plair,negative,0,0,1,0,0,1
423,dã©pourvu,negative,0,0,1,0,0,0
424,dã©pourvu,negative,0,0,1,0,0,0
425,dã©pourvus,negative,0,0,1,0,0,0
426,dã©pressif,negative,0,1,1,1,0,0
427,dã©rogat,positive,0,0,0,0,0,0
428,dã©rout,negative,0,1,1,0,1,0
429,du conjoint,positive,0,0,0,0,0,0
430,dã©sagrã©ment,negative,0,0,0,1,0,0
431,dã©sapprob,negative,0,0,1,1,0,1
432,dã©sastreux,negative,0,1,1,1,0,1
433,dã©savantag,negative,0,0,1,0,0,0
434,descend,positive,0,0,0,0,0,0
435,descript,positive,0,0,0,0,0,0
436,dã©shonneur,negative,0,0,1,0,0,1
437,dã©sopil,positive,0,0,0,0,1,0
438,dã©sordr,negative,0,1,0,1,1,0
439,dã©sorganis,negative,0,0,0,0,0,0
440,dessiner le contour,positive,0,0,0,0,0,0
441,destroi,negative,0,1,0,1,0,0
442,destructeur,negative,0,1,1,1,0,1
443,dã©structur,negative,0,1,1,0,0,0
444,dã©tenteur,positive,0,0,0,0,0,0
445,dã©ten,negative,0,1,1,1,0,1
446,dã©termin,positive,0,0,0,0,0,0
447,dã©tourn,negative,0,1,1,0,0,0
448,dã©valoris,negative,0,1,1,0,0,0
449,dã©vastateur,negative,0,1,1,1,0,1
450,dã©voil,negative,0,1,0,0,1,0
451,dictateur,negative,0,1,1,1,0,0
452,diffamatoir,negative,0,0,0,1,0,1
453,diffã©rend,negative,0,0,1,1,0,0
454,diffã©rentiel,positive,0,0,0,0,0,0
455,difficil,negative,0,0,1,0,0,0
456,difficultã©,negative,0,0,1,0,0,0
457,difform,negative,0,1,1,0,0,1
458,difformitã©,negative,0,1,1,0,0,1
459,diminu,negative,0,0,1,0,0,0
460,diminu,negative,0,0,1,0,0,0
461,dingu,negative,0,1,0,0,1,1
462,direct,positive,0,0,0,0,0,0
463,directeur|directrice de le photograph,positive,0,0,0,0,0,0
464,disciplin,positive,0,0,0,0,0,0
465,discord,negative,0,0,0,1,0,0
466,discret,positive,0,0,1,0,1,0
467,disgraci,negative,0,0,0,0,0,1
468,disput,negative,0,1,1,1,0,1
469,dissident,negative,0,1,0,1,0,0
470,dissimul,negative,0,1,1,0,0,0
471,distinct,positive,0,0,0,0,1,0
472,distinct,positive,0,0,0,0,0,0
473,distingu,positive,0,0,0,0,0,0
474,divert,positive,1,0,0,0,0,0
475,divin,positive,0,0,0,0,0,0
476,diviser en d,negative,0,0,0,0,0,0
477,divulg,negative,0,1,0,0,1,0
478,domin,negative,0,0,0,1,0,0
479,donateur,positive,0,0,0,0,0,0
480,donner son approbation ã ,positive,0,0,0,0,0,0
481,donneur,positive,0,0,0,0,0,0
482,dormeur|dorm,positive,0,0,0,0,0,0
483,doux,positive,0,0,1,0,0,0
484,dou,positive,0,0,0,0,0,0
485,doulour,negative,0,1,1,1,0,1
486,douteur,negative,0,1,0,0,0,1
487,doyen,positive,0,0,0,0,0,0
488,draconien,negative,0,0,1,0,0,0
489,du gouverneur,positive,0,0,0,0,0,0
490,du moi|mois prã©cã©dent,positive,0,0,0,0,0,0
491,dual,positive,0,0,0,0,0,0
492,dubit,negative,0,1,0,0,0,0
493,duper,negative,0,1,1,1,1,1
494,duplicat,positive,0,0,0,0,0,0
495,duvet,positive,1,0,0,0,0,0
496,ã©bouriff,negative,0,0,0,0,0,1
497,ã©branl,negative,0,1,1,0,1,0
498,ã©cailleur,negative,0,0,0,0,0,1
499,ã©cart,positive,0,0,0,0,0,0
500,ã©chec,negative,0,0,1,0,0,1
501,ã©claireur,positive,0,0,0,0,0,0
502,ã©clat,positive,1,0,0,0,0,0
503,ã©conom,positive,0,0,0,0,0,0
504,ã©coul,positive,0,0,0,0,0,0
505,ã©cras,negative,0,0,1,0,0,0
506,ã©cum,positive,0,0,0,0,0,1
507,ã©cumeur,negative,0,0,0,0,0,1
508,ã©dific,positive,0,0,0,0,0,0
509,ã©diteur,positive,0,0,0,0,0,0
510,effervescent,negative,0,1,0,0,1,0
511,effrayer|effrai,negative,0,1,1,1,0,1
512,effroi,negative,0,0,1,0,1,0
513,ã©gar,negative,0,1,1,0,1,0
514,ã©lan,positive,0,0,0,0,0,0
515,ã©lecteur,positive,0,0,0,0,0,0
516,ã©leveur,positive,0,0,0,0,0,0
517,ã©locut,positive,0,0,0,0,0,0
518,emballeur,positive,0,0,0,0,0,0
519,embarrass,negative,0,1,0,0,0,1
520,ã©minent,positive,0,0,0,0,0,0
521,ã©motif,negative,0,1,1,0,0,0
522,empaqueteur|empaquet,positive,0,0,0,0,0,0
523,emploi,positive,0,0,0,0,0,0
524,employer de bureau,positive,0,0,0,0,0,0
525,empoison,negative,0,1,1,1,1,1
526,empreinte digital,positive,0,0,0,0,0,0
527,emprunteur,negative,0,0,0,0,0,0
528,en av,positive,0,0,0,0,0,0
529,en diminu,negative,0,0,1,0,0,0
530,en doubl,positive,0,0,0,0,0,0
531,en extas,positive,0,0,0,0,1,0
532,en flamm,negative,0,1,0,1,0,0
533,en ivoir,positive,0,0,0,0,0,0
534,en or,positive,0,0,0,0,0,0
535,en totalitã©,positive,0,0,0,0,0,0
536,enchã©riss,positive,0,0,0,0,0,0
537,endorm,positive,0,0,0,0,0,0
538,enduir,positive,0,0,0,0,0,0
539,enflamm,negative,0,0,0,1,0,0
540,engag,positive,0,0,0,0,0,0
541,enlev,negative,0,1,1,1,0,0
542,ennem,negative,0,1,1,1,0,1
543,ennui,negative,0,1,1,1,0,1
544,ã©normã©ment,negative,0,0,1,0,0,0
545,enquãªtric,positive,0,0,0,0,0,0
546,entaill,negative,0,1,1,0,0,0
547,entent,positive,0,0,0,0,0,0
548,enti,positive,0,0,0,0,0,0
549,entrain,positive,0,0,0,0,0,0
550,entraã®neur,positive,0,0,0,0,0,0
551,entre parenthã¨s,negative,0,0,0,0,0,0
552,entremetteur,positive,0,0,0,0,0,0
553,envieux,negative,0,0,0,1,0,0
554,environ|env,positive,0,0,0,0,0,0
555,envoi,positive,0,0,0,0,0,0
556,ã©par,negative,0,0,1,0,0,0
557,ã©pici,positive,0,0,0,0,0,0
558,ã©pineux,negative,0,1,1,1,1,1
559,ã©plorã©,negative,0,1,1,1,0,0
560,ã©pluchur,negative,0,0,0,0,0,0
561,ã©pous,positive,0,0,0,0,0,0
562,ã©pouvant,negative,0,1,1,1,0,1
563,ã©quivalent,positive,0,0,0,0,0,0
564,ã©rod,negative,0,0,1,0,0,1
565,escarp,negative,0,1,0,0,0,0
566,escroqu,negative,0,1,1,1,1,0
567,espã¨ce,positive,0,0,0,0,0,0
568,espiã¨gl,positive,0,0,0,1,1,0
569,espion,negative,0,1,0,0,1,0
570,esprit du mal,negative,0,1,0,1,0,1
571,estim,positive,0,0,0,0,0,0
572,ã©tap,positive,0,0,0,0,0,0
573,ã©tendr,negative,0,1,1,1,0,1
574,ã©ternel,positive,0,0,1,0,0,0
575,ã©ton,positive,0,0,0,0,1,0
576,ã©touff,negative,0,1,1,1,0,0
577,ã©trang,negative,0,1,0,0,1,1
578,ã©trang,negative,0,1,1,0,0,1
579,ãªtre apprent,positive,0,0,0,0,0,0
580,ãªtre constamment sur le dos d,negative,0,1,1,1,0,0
581,ã©treindr,positive,0,0,0,0,1,0
582,ã©treint,positive,0,0,0,0,0,0
583,ã©tudi,positive,0,0,0,0,0,0
584,ã©vasif,negative,0,0,0,0,1,0
585,ã©ventuel,negative,0,0,0,0,0,0
586,ã©vit,negative,0,0,0,0,0,1
587,ã©vocateur,positive,0,0,0,0,0,0
588,examin,positive,0,0,0,0,0,0
589,exceptionnel,positive,0,0,0,0,1,0
590,excess,negative,0,0,1,1,0,0
591,excurs,positive,0,0,0,0,0,0
592,excus,positive,0,0,0,0,0,0
593,excuser moi,positive,0,0,0,0,0,0
594,exã©crer,negative,0,1,0,1,0,1
595,exã©cuteur testamentair,positive,0,0,0,0,0,0
596,exhaust,positive,0,0,0,0,0,0
597,exig,negative,0,0,0,1,0,0
598,exist,positive,0,0,0,0,0,0
599,existent,positive,1,0,0,0,0,0
600,expatri,negative,0,1,1,0,0,0
601,expã©riment,positive,0,0,0,0,0,0
602,expã©riment,positive,0,0,0,0,0,0
603,expert,positive,0,0,0,0,0,0
604,expertis,positive,0,0,0,0,0,0
605,expliqu,positive,0,0,0,0,0,0
606,explos,negative,0,1,0,1,1,0
607,expuls,negative,0,1,1,1,1,0
608,extã©nu,negative,0,0,1,0,0,0
609,extrãªmement,negative,0,0,1,0,0,0
610,fabric,positive,0,0,0,0,0,0
611,fabriqu,positive,0,0,0,0,0,0
612,fabriquer de tout piã¨c,negative,0,0,0,0,0,0
613,facil,positive,0,0,0,0,0,0
614,facult,positive,0,0,0,0,0,0
615,faire attention ã ,negative,0,1,0,0,0,0
616,faire dissident,negative,0,0,0,1,0,0
617,faire du shopping,positive,0,0,0,0,1,0
618,faire obstacle ã ,negative,0,0,1,1,0,0
619,faire un manifestation dev,negative,0,1,0,1,1,0
620,faire un siest,positive,0,0,0,0,0,0
621,faisabl,positive,1,0,0,0,0,0
622,fallaci,negative,0,0,0,1,0,1
623,familial,positive,0,0,0,0,0,0
624,fanat,positive,0,1,0,1,0,0
625,farfadet,positive,0,1,0,0,0,0
626,fastidi,negative,0,0,1,0,0,0
627,faux,negative,0,1,1,1,0,1
628,favor,positive,1,0,0,0,0,0
